id,question,answer,exam,section
3672548206,You have built a machine learning model that is overfitting. What technique would you try to eliminate overfitting?,Regularization,gcp-pde,flashcard
2191993906,What is Cloud SQL?,It is GCP's managed relational database service. It includes options to run MySQL and PostgreSQL. SQL Server is also available in beta.,gcp-pde,flashcard
4073852575,What is object storage?,"A storage system that manages data as objects, such as files. Cloud Storage is an object storage system.",gcp-pde,flashcard
2299242714,What is the Sarbanes–Oxley Act (SOX)?,The Sarbanes–Oxley Act is a U.S. financial reporting regulation governing publicly traded companies.,gcp-pde,flashcard
2995056801,What GCP service offers fully managed MySQL and PostgreSQL databases?,Cloud SQL,gcp-pde,flashcard
1313495479,"As a database administrator tasked with migrating a MongoDB instance to Google Cloud, you are concerned about your ability to configure the database optimally. You want to collect metrics at both the instance level and the database server level. What would you do in addition to creating an instance and installing and configuring MongoDB to ensure that you can monitor key instances and database metrics?",Install Stackdriver Monitoring agent.  installing Stackdriver Monitoring agent. This will collect application-level metrics and send them to Stackdriver for alerting and charting.,gcp-pde,Building and Operationalizing Storage Systems
4033049464,What is multi-regional storage?,A class of Cloud Storage that stores objects in at least two separate geographic places that are separated by at least 100 miles. This practice of storing objects in separate geographic areas is called geo-redundant storage.,gcp-pde,flashcard
2348375541,"Auditors have informed your company CFO that to comply with a new regulation, your company will need to ensure that financial reporting data is kept for at least three years. The CFO asks for your advice on how to comply with the regulation with the least administrative overhead. What would you recommend?",Define a data retention policy. A data retention policy will ensure that files are not deleted from a storage bucket until they reach a specified age.,gcp-pde,Building and Operationalizing Storage Systems
1218290395,Which GCP service is used for managing and reviewing logs?,Stackdriver Logging,gcp-pde,flashcard
4053436800,What GCP service provides managed in-memory caching?,Cloud Memorystore,gcp-pde,flashcard
934994031,"Which storage classes are good options for infrequently accessed data? One is designed to be accessed no more than once a month, and the other is designed to be accessed no more than once per year.",Nearline (once per month) and Coldline (once per year),gcp-pde,flashcard
799496378,You need to build a chatbot to reduce the burden on your customer support department. What GCP service would you use?,DialogFlow,gcp-pde,flashcard
4017046496,What kind of databases do not use the relational model and do not require a fixed structure or schema?,NoSQL databases,gcp-pde,flashcard
2179034163,What kind of services reduce the workload on systems administrators and DevOps engineers because they eliminate some of the work required when managing your own implementation of a platform?,Managed services,gcp-pde,flashcard
771928322,What are some key factors to keep in mind when choosing a storage solution?,"Read and write patterns, consistency, transaction support, cost, and latency",gcp-pde,flashcard
3575974253,Your department is experimenting with using Cloud Spanner for a globally accessible database. You are starting with a pilot project using a regional instance. You would like to follow Google’s recommendations for the maximum sustained CPU utilization of a regional instance. What is the maximum CPU utilization that you would target?,65%.  65%.,gcp-pde,Building and Operationalizing Storage Systems
1396148492,"If you don't want a BigQuery query to count against your resources, how should you run it?",Batch,gcp-pde,flashcard
2299195618,"You have trained a machine learning model, and it works well on training data but not on test data or when used in production. What is the likely cause of the problem?",Overfitting,gcp-pde,flashcard
2926098365,What is a service-level objective (SLO)?,A service-level objective is an agreed-upon target for a measurable attribute of a service.,gcp-pde,flashcard
169171073,You are responsible for developing an ingestion mechanism for a large number of IoT sensors. The ingestion service should accept data up to 10 minutes late. The service should also perform some transformations before writing the data to a database. Which of the managed services would be the best option for managing late arriving data and performing transformations?,Cloud Dataflow. Cloud Dataflow is a stream and batch processing service that is used for transforming data and processing streaming data.,gcp-pde,Selecting Appropriate Storage Technologies
2348764550,What GCP service could you use as a replacement for Apache Kafka?,Cloud Pub/Sub,gcp-pde,flashcard
2047913685,What type of VM can run for up to 24 hours before being shut down by Google Cloud?,Preemptible VMs,gcp-pde,flashcard
3962731188,"You created a Cloud SQL database that uses replication to improve read performance. Occasionally, the read replica will be unavailable. You haven’t noticed a pattern, but the disruptions occur once or twice a month. No DBA operations are occurring when the incidents occur. What might be the cause of this issue?","Maintenance is occurring on the read replica. Maintenance could be occurring. Maintenance on read replicas is not restricted to the maintenance window of the primary instance or to other windows, so it can occur anytime. That would make the read replica unavailable.",gcp-pde,Building and Operationalizing Storage Systems
519977413,A multinational corporation is building a global inventory database. The database will support OLTP type transactions at a global scale. Which of the following would you consider as possible databases for the system?,Cloud Spanner only. Cloud Spanner is the only globally scalable relational database for OLTP applications.,gcp-pde,Selecting Appropriate Storage Technologies
623694209,"A genomics research institute is developing a platform for analyzing data related to genetic diseases. The genomics data is in a specialized format known as FASTQ, which stores nucleotide sequences and quality scores in a text format. Files may be up to 400 GB and are uploaded in batches. Once the files finish uploading, an analysis pipeline runs, reads the data in the FASTQ file, and outputs data to a database. What storage system is a good option for storing the uploaded FASTQ data?","Cloud Storage. because the FASTQ files are unstructured since their internal format is not used to organize storage structures. Also, 400 GB is large enough that it is not efficient to store them as objects in a database.",gcp-pde,Selecting Appropriate Storage Technologies
1458385330,What is a measure of the probability that a service will continue to function under some load for a period of time?,Reliability,gcp-pde,flashcard
3674333551,What GCP service is useful for buffering data between services?,Cloud Pub/Sub,gcp-pde,flashcard
1594354996,"When long-term archival storage is required, what GCP service is the best option?",Cloud Storage,gcp-pde,flashcard
2705101997,What is a pull subscription in Cloud Pub/Sub?,A pull subscription in Cloud Pub/Sub is a subscription in which a service reads a message from a topic instead of waiting for it to be sent.,gcp-pde,flashcard
2508014661,What GCP service could you use as a replacement for Apache Flink?,Cloud Dataflow,gcp-pde,flashcard
