id,question,answer,exam,section
0,What is semi structured data?,doesn't reside in a relational database but has some structure to e.g. json ecdc,azure-dp-900,simple
1,2 other examples of semi-structured data excluding json,key-value store and graph databases ecdc,azure-dp-900,simple
2,What can you use a graph database to do?,Store and query info about complex relationships ecdc,azure-dp-900,simple
3,What are node and edges in re: to a graph database?,nodes - information about objects edges - infor about the relationship between objects,azure-dp-900,simple
4,What are 3 examples of unstructured data?,"data, video and audio files",azure-dp-900,simple
5,Where is structured data typically stored?,SQL Database or Azure SQL database ecdc,azure-dp-900,simple
6,What is the act of setting up a database called?,Provisioning ecdc,azure-dp-900,simple
7,Where would you store unstructured data in Azure?,In Azure Blob Storage,azure-dp-900,simple
8,Give an example of where you would store semi-structured data such as documents?,Azure Cosmos DB ecdc,azure-dp-900,simple
9,After you have provisioned a service what are the 3 levels of access you would typically give,Read-only Read-Write Owner,azure-dp-900,simple
10,Describe data ingestion - ecdc,"process of capturing raw data. This could be from devices measuring temperature, financial transactions etc..",azure-dp-900,simple
11,What is DataTransformation/Data Processing? ecdc?,"after raw data is digested, it might not be fit for processing and certain anomolies might need filtered out, aggregations made etc.",azure-dp-900,simple
12,What is data querying? ecdc?,"after it has been ingested and transformed, you can query to analyse it and look for trends",azure-dp-900,simple
13,What is Data Visualisation ecdc?,"To visualise the data , you can use tools such as bar charts, line charts or plot results on geographical maps, pie charts",azure-dp-900,simple
14,What are one of the issues with a document database?,addo duplicated in the docs for Jay and Franci Adams. this increases storage and makes maintenance more complex. ecdc,azure-dp-900,simple
15,What is a primary use of a relational database?,Handle transactional processing. ecdc,azure-dp-900,simple
16,What is a distributed database?,Data is stored against different physical location. It may be heard in multiple computers located in the same physical location. ecdc,azure-dp-900,simple
17,How does a data update compare between distributed and non-distributed database.?,A data update to a distributed dtabase will take time to apply across multiple locations.,azure-dp-900,simple
18,How do distributed systems avoid the problem of retaining locks for a long time?,relax the strict isolation requirement of transactions and implement eventual consistency ecdc,azure-dp-900,simple
19,How does eventual consistency work?,"As an application writes data, each change is recorded by one server than then propagated to the other service in the distributed database system asynchronously. ecdc",azure-dp-900,simple
20,What does the eventual consistency strategy mean ?,helps to minimize latency and lead to temporary inconsistencies in the data ecdc,azure-dp-900,simple
21,When it eventual consistency ideal?,"Application doesn't require any ordering guarantees. Examples are counts or shares, likes, or non-threaded comments in a social media system. ecdc",azure-dp-900,simple
22,What are Analytical workloads typically.?,read-only systems that store vast volumes of business data or business metrics. ecdc,azure-dp-900,simple
23,What are Analytical workloads used for?,Data analysis and decision making. ecdc,azure-dp-900,simple
24,How are analytics generated?,"Aggregating the facts presented by the raw data into summaries, trends, and other kinds or Business Information ecdc",azure-dp-900,simple
25,What can timeframe be based on for Analytics and why is this?,"Snapshot of the data at a given point in time, or in a series or snapshots. People who are higher up in hierarchy dont require all the details of every transaction but want a bigger picture. ecdc",azure-dp-900,simple
26,What is an example of of analytical information?,"Monthly sales report. A head or sales may not need all the individual transactions, but the report should make it possible to identify trends.",azure-dp-900,simple
27,What is Data processing?,Conversion of raw data to meaningful information through a process. ecdc,azure-dp-900,simple
28,What are the ways that data is ingested into your system.?,"processs each data item as it arrives (streaming), or buffer the raw data and process in groups (batch processing)",azure-dp-900,simple
29,Give an example of batch processing.,The way that credit card companies handle billing. The customer doesn't receive a bill for each separate credit card purchase but one monthly bill for all of that month's purchases. ecdc,azure-dp-900,simple
30,What are advantages of batch processing?,"- Large volumes of data can be processed at a convenient time - It can be scheduled to run at a time when computers or systems might otherwise be idle, such as overnight, or during off-peak hours",azure-dp-900,simple
31,What are disadvantages or batch processing?,- The time delay between ingesting the data and getting the results - All of a batch job's input data must be ready before a batch can be processed. This means the data must be carefully checked. Any minor problems can prevent a batch job from running.,azure-dp-900,simple
32,"In stream processing, how is each new piece of data processed?",Processed when it arrives. Data is inherently a streaming process. ecdc,azure-dp-900,simple
33,When is streaming data processing beneficial?,"Most scenarios where new, dynamic data is generated on a continual basis.",azure-dp-900,simple
34,3 examples of streaming data,"- Financial institution tracks changes in stock market in real time, computes value at risk and automatically rebalances portfolio based on stock price movements. - Online gaming company collects player data and analyses the data in real time and offers and incentives and dynamic experiences to engage it's players - Real-estate website that tracks a subset of data from consumers' mobile devices, and makes real-time property recommendataion of properties to visit base on geo-location",azure-dp-900,simple
35,What is stream processing ideal for and give an example.?,Time critical operations that require instant real-time response e.g. a system that monitors a building for smoke and heat and unlocks doors.,azure-dp-900,simple
36,Batch vs Streaming processing - Data Scope:,"Batch can processs all the data in the dataset. Stream typically only has access to the most recent data received, or within a roling time window (last 30 secs for example)",azure-dp-900,simple
37,Batch vs Streaming processing - Data Size:,Batch is suitable for handling large datasets efficiently. Stream is intended for individual records or micro batches consisting of few records,azure-dp-900,simple
38,Batch vs Streaming processing - Data Performance:,"Latency for batch is typically a few hours. Stream typically occurs immediately, with latency in the order of sec or msecs.",azure-dp-900,simple
39,Batch vs Streaming processing - Analysis:,"Typically for performing complex analytics. Stream processing is used for simple response functions, aggregates, or calcs such as rolling averages",azure-dp-900,simple
40,What are the 3 roles in world of data?,"Azure DBA, Data Engineer role, Data Analyst role",azure-dp-900,simple
41,Azure Database Administrator role responsibility,"responsible for the design, implementation, maintenance, and operational aspects of on-premises and cloud-based dataase solutions built on Azure data services and SQL Server.",azure-dp-900,simple
42,Who does a data engineer collaborate with and to why?,"stakeholders to design and implement data-related assets that include data ingestion piplelines, cleansing and transformation activities, and data sotres for analytical workloads.",azure-dp-900,simple
43,What technological data platforms does a data engineer use.?,"A wide range, including relational and nonrelational databases, file stores, and data streams",azure-dp-900,simple
